Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
1.485905688,0,0,0,0,0,0,0,0
1.48590575,0,0,0,0,0,0,0,0
1.485905813,0,0,0,0,0,0,0,0
1.485905875,0,0,0,0,0,0,0,0
1.485905938,0,0,0,0,0,0,0,0
1.485906,0,0,0,0,0,0,0,0
1.485906063,0,0,0,0,0,0,0,0
1.485906125,0,0,0,0,0,0,0,0
1.485906188,0,0,0,0,0,0,0,0
1.48590625,0,0,0,0,0,0,0,0
1.485906313,0,0,0,0,0,0,0,0
1.485906375,0,0,0,0,0,0,0,0
1.485906438,0,0,0,0,0,0,0,0
1.4859065,0,0,0,0,0,0,0,0
1.485906563,0,0,0,0,0,0,0,0
1.485906625,0,0,0,0,0,0,0,0
1.485906688,0,0,0,0,0,0,0,0
1.48590675,0,0,0,0,0,0,0,0
1.485906813,0,0,0,0,0,0,0,0
1.485906875,0,0,0,0,0,0,0,0
1.485906938,0,0,0,0,0,0,0,0
1.485907,0,0,0,0,0,0,0,0
1.485907063,0,0,0,0,0,0,0,0
1.485907125,0,0,0,0,0,0,0,0
1.485907188,0,0,0,0,0,0,0,0
1.48590725,0,0,0,0,0,0,0,0
1.485907313,0,0,0,0,0,0,0,0
1.485907375,0,0,0,0,0,0,0,0
1.485907438,0,0,0,0,0,0,0,0
1.4859075,0,0,0,0,0,0,0,0
1.485907563,0,0,0,0,0,0,0,0
1.485907625,0,0,0,0,0,0,0,0
1.485907688,0,0,0,0,0,0,0,0
1.48590775,0,0,0,0,0,0,0,0
1.485907813,0,0,0,0,0,0,0,0
1.485907875,0,0,0,0,0,0,0,0
1.485907938,0,0,0,0,0,0,0,0
1.485908,0,0,0,0,0,0,0,0
1.485908063,0,0,0,0,0,0,0,0
1.485908125,0,0,0,0,0,0,0,0
1.485908188,0,0,0,0,0,0,0,0
1.48590825,0,0,0,0,0,0,0,0
1.485908313,0,0,0,0,0,0,0,0
1.485908375,0,0,0,0,0,0,0,0
1.485908438,0,0,0,0,0,0,0,0
