Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
1.4652645, 1, 1, 1, 1, 1, 1, 1, 1
1.465356625, 0, 0, 0, 0, 0, 0, 0, 0
1.4653645, 1, 1, 1, 1, 1, 1, 1, 1
1.465364875, 1, 1, 1, 1, 1, 1, 1, 0
1.4653649375, 1, 1, 1, 1, 1, 1, 1, 1
1.4653650625, 1, 1, 1, 1, 1, 1, 1, 0
1.4653651875, 1, 1, 1, 1, 1, 1, 1, 1
1.4653653125, 1, 1, 1, 1, 1, 1, 1, 0
1.465365375, 0, 0, 0, 0, 0, 0, 0, 0
1.46536575, 1, 1, 1, 1, 1, 1, 1, 1
1.465366, 0, 0, 0, 0, 0, 0, 0, 0
1.465367, 1, 1, 1, 1, 1, 1, 1, 1
1.46536725, 0, 0, 0, 0, 0, 0, 0, 0
1.46536825, 1, 1, 1, 1, 1, 1, 1, 1
1.4653685, 0, 0, 0, 0, 0, 0, 0, 0
1.4653695, 1, 1, 1, 1, 1, 1, 1, 1
1.46536975, 0, 0, 0, 0, 0, 0, 0, 0
1.46537075, 1, 1, 1, 1, 1, 1, 1, 1
1.465371, 0, 0, 0, 0, 0, 0, 0, 0
1.465372, 1, 1, 1, 1, 1, 1, 1, 1
1.46537225, 0, 0, 0, 0, 0, 0, 0, 0
1.46537325, 1, 1, 1, 1, 1, 1, 1, 1
1.4653735, 0, 0, 0, 0, 0, 0, 0, 0
1.4653745, 1, 1, 1, 1, 1, 1, 1, 1
1.465374625, 1, 1, 1, 0, 1, 1, 1, 1
1.4653746875, 1, 1, 1, 1, 1, 1, 1, 1
1.46537475, 1, 1, 1, 1, 1, 1, 1, 0
1.4653748125, 1, 1, 1, 1, 1, 1, 1, 1
1.465374875, 1, 1, 1, 1, 1, 1, 1, 0
1.4653750625, 1, 1, 1, 1, 1, 1, 1, 1
1.4653751875, 1, 1, 1, 1, 1, 1, 1, 0
1.46537525, 1, 1, 1, 1, 1, 1, 1, 1
1.4653753125, 1, 1, 1, 1, 1, 1, 1, 0
1.465375375, 0, 0, 0, 0, 0, 0, 0, 0
1.46537575, 1, 1, 1, 1, 1, 1, 1, 1
1.465376, 0, 0, 0, 0, 0, 0, 0, 0
1.465377, 1, 1, 1, 1, 1, 1, 1, 1
1.46537725, 0, 0, 0, 0, 0, 0, 0, 0
1.46537825, 1, 1, 1, 1, 1, 1, 1, 1
1.4653785625, 0, 0, 0, 0, 0, 0, 0, 0
1.4653795, 1, 1, 1, 1, 1, 1, 1, 1
1.46537975, 0, 0, 0, 0, 0, 0, 0, 0
1.46538075, 1, 1, 1, 1, 1, 1, 1, 1
1.465381, 0, 0, 0, 0, 0, 0, 0, 0
1.465382, 1, 1, 1, 1, 1, 1, 1, 1
1.46538225, 0, 0, 0, 0, 0, 0, 0, 0
1.4653831875, 1, 1, 1, 1, 1, 1, 1, 1
1.4653835625, 0, 0, 0, 0, 0, 0, 0, 0
1.4653845625, 1, 1, 1, 1, 1, 1, 1, 1
1.46538475, 1, 1, 1, 1, 1, 1, 1, 0
1.4653848125, 1, 1, 1, 1, 1, 1, 1, 1
1.465384875, 1, 1, 1, 1, 1, 1, 1, 0
1.465385, 1, 1, 1, 1, 1, 1, 1, 1
1.465385125, 1, 1, 1, 1, 1, 1, 1, 0
1.46538525, 1, 1, 1, 1, 1, 1, 1, 1
1.4653853125, 1, 1, 1, 1, 1, 1, 1, 0
1.465385375, 1, 1, 1, 1, 1, 1, 1, 1
1.4653854375, 0, 0, 0, 0, 0, 0, 0, 0
1.46538575, 1, 1, 1, 1, 1, 1, 1, 1
1.465386, 0, 0, 0, 0, 0, 0, 0, 0
1.465387, 1, 1, 1, 1, 1, 1, 1, 1
1.4653873125, 0, 0, 0, 0, 0, 0, 0, 0
1.46538825, 1, 0, 1, 1, 1, 1, 1, 1
1.4653883125, 1, 1, 1, 1, 1, 1, 1, 1
1.4653885, 0, 0, 0, 0, 0, 0, 0, 0
1.4653895, 1, 1, 1, 1, 1, 1, 1, 1
1.46538975, 0, 0, 0, 0, 0, 0, 0, 0
1.46539075, 1, 0, 1, 1, 1, 1, 1, 1
1.4653908125, 1, 1, 1, 1, 1, 1, 1, 1
1.465391, 0, 0, 0, 0, 0, 0, 0, 0
1.465392, 1, 1, 1, 1, 1, 1, 1, 1
1.46539225, 0, 0, 0, 0, 0, 0, 0, 0
1.46539325, 1, 1, 1, 1, 1, 1, 1, 1
1.4653935625, 0, 0, 0, 0, 0, 0, 0, 0
1.4653945, 1, 0, 1, 1, 1, 1, 1, 1
1.4653945625, 1, 1, 1, 1, 1, 1, 1, 1
1.46539475, 1, 0, 0, 0, 1, 1, 1, 0
1.4653951875, 1, 0, 0, 0, 1, 1, 1, 1
1.46539525, 1, 0, 0, 0, 1, 1, 1, 0
1.4653954375, 0, 0, 0, 0, 0, 0, 0, 0
1.46539575, 1, 1, 1, 1, 1, 1, 1, 1
1.4653960625, 0, 1, 1, 1, 0, 0, 1, 1
1.465396125, 0, 1, 1, 1, 0, 0, 0, 0
1.4653966875, 0, 0, 0, 0, 0, 0, 0, 0
1.465397, 1, 1, 1, 1, 1, 1, 1, 1
1.46539725, 0, 1, 1, 1, 0, 0, 0, 0
1.4653979375, 0, 0, 0, 0, 0, 0, 0, 0
1.46539825, 1, 1, 1, 1, 1, 1, 0, 1
