Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
1.2316403125, 0, 0, 0, 0, 0, 0, 0, 0
1.2317403125, 1, 1, 1, 1, 1, 1, 1, 1
1.2317405625, 0, 0, 0, 0, 0, 0, 0, 0
1.2317415625, 1, 1, 1, 1, 1, 1, 1, 1
1.2317419375, 1, 1, 1, 1, 1, 1, 1, 0
1.231742125, 1, 1, 1, 1, 1, 1, 1, 1
1.2317421875, 1, 1, 1, 1, 1, 1, 1, 0
1.2317423125, 1, 1, 1, 1, 1, 1, 1, 1
1.2317424375, 0, 0, 0, 0, 0, 0, 0, 0
1.2317428125, 1, 1, 1, 1, 1, 1, 1, 1
1.2317430625, 1, 1, 1, 1, 0, 0, 0, 0
1.231743125, 1, 1, 1, 1, 0, 0, 1, 1
1.2317431875, 1, 1, 1, 1, 0, 0, 0, 0
1.231743375, 1, 1, 1, 1, 0, 0, 1, 1
1.2317434375, 1, 1, 1, 1, 0, 0, 0, 0
1.231743625, 1, 1, 1, 1, 0, 0, 1, 1
1.2317436875, 0, 0, 0, 0, 0, 0, 0, 0
1.2317440625, 1, 1, 1, 1, 1, 1, 1, 1
1.2317443125, 0, 0, 0, 0, 1, 0, 0, 0
1.2317449375, 0, 0, 0, 0, 0, 0, 0, 0
1.2317453125, 1, 1, 1, 1, 1, 1, 1, 1
1.2317455625, 1, 0, 0, 1, 0, 1, 1, 0
1.231745875, 1, 0, 1, 1, 0, 1, 1, 0
1.2317459375, 1, 0, 0, 1, 0, 1, 1, 0
1.2317461875, 0, 0, 0, 0, 0, 0, 0, 0
1.2317465625, 1, 1, 1, 1, 1, 1, 1, 1
1.2317468125, 1, 1, 1, 0, 0, 0, 0, 0
1.2317474375, 0, 0, 0, 0, 0, 0, 0, 0
1.2317478125, 1, 1, 1, 1, 1, 1, 1, 1
1.2317480625, 0, 0, 0, 0, 1, 1, 0, 0
1.231748125, 0, 0, 0, 0, 1, 1, 1, 0
1.2317486875, 0, 0, 0, 0, 0, 0, 0, 0
1.2317490625, 1, 1, 1, 1, 1, 1, 1, 1
1.231749375, 0, 1, 1, 0, 1, 1, 1, 0
1.2317495, 0, 1, 1, 1, 1, 1, 1, 1
1.2317495625, 0, 1, 1, 0, 1, 1, 1, 0
1.2317498125, 0, 1, 1, 0, 1, 1, 1, 1
1.231749875, 0, 1, 1, 0, 1, 1, 1, 0
1.2317499375, 0, 0, 0, 0, 0, 0, 1, 0
1.23175, 0, 0, 0, 0, 0, 0, 0, 0
1.2317503125, 1, 1, 1, 1, 1, 1, 1, 1
1.2317505625, 0, 0, 0, 0, 0, 0, 0, 0
1.2317515625, 1, 1, 1, 1, 1, 1, 1, 1
1.2317518125, 1, 0, 0, 0, 1, 1, 1, 0
1.2317519375, 1, 0, 0, 1, 1, 1, 1, 1
1.231752, 1, 0, 0, 0, 1, 1, 1, 0
1.231752125, 1, 0, 0, 0, 1, 1, 1, 1
1.2317521875, 1, 0, 0, 0, 1, 1, 1, 0
1.2317524375, 0, 0, 0, 0, 0, 0, 0, 0
1.2317528125, 1, 1, 1, 1, 1, 1, 1, 1
1.2317530625, 0, 1, 1, 1, 1, 1, 1, 1
1.231753125, 0, 1, 1, 1, 1, 1, 1, 0
1.23175325, 1, 1, 1, 1, 1, 1, 1, 1
1.2317533125, 0, 1, 1, 1, 1, 1, 1, 0
1.231753375, 0, 1, 1, 1, 1, 1, 1, 1
1.2317534375, 0, 1, 1, 1, 1, 1, 1, 0
1.2317535625, 1, 1, 1, 1, 1, 1, 1, 1
1.231753625, 0, 1, 1, 1, 1, 1, 1, 0
1.2317536875, 0, 0, 0, 0, 0, 0, 0, 0
1.2317540625, 1, 1, 1, 1, 1, 1, 1, 1
1.231754375, 0, 0, 0, 1, 1, 1, 1, 0
1.231755, 0, 0, 0, 0, 0, 0, 0, 0
1.2317553125, 1, 1, 1, 1, 1, 1, 1, 1
1.2317555625, 0, 1, 1, 1, 1, 1, 1, 0
1.2317556875, 1, 1, 1, 1, 1, 1, 1, 1
1.23175575, 0, 1, 1, 1, 1, 1, 1, 0
1.231755875, 1, 1, 1, 1, 1, 1, 1, 1
1.2317559375, 0, 1, 1, 1, 1, 1, 1, 0
1.231756, 0, 1, 1, 1, 1, 1, 1, 1
1.2317560625, 0, 1, 1, 1, 1, 1, 1, 0
1.2317561875, 0, 0, 0, 0, 0, 0, 0, 0
1.2317565625, 1, 1, 1, 1, 1, 1, 1, 1
1.2317568125, 0, 0, 0, 0, 0, 0, 0, 0
1.231756875, 1, 0, 0, 0, 0, 0, 0, 0
1.2317574375, 0, 0, 0, 0, 0, 0, 0, 0
1.2317578125, 1, 1, 1, 1, 1, 1, 1, 1
1.2317580625, 0, 1, 1, 1, 1, 1, 1, 1
1.231758125, 0, 1, 1, 0, 1, 1, 1, 0
1.23175825, 0, 1, 1, 1, 1, 1, 1, 1
1.2317583125, 0, 1, 1, 0, 1, 1, 1, 0
1.2317584375, 0, 1, 1, 1, 1, 1, 1, 1
1.2317585, 0, 1, 1, 0, 1, 1, 1, 0
1.231758625, 0, 1, 1, 1, 1, 1, 1, 1
1.2317586875, 0, 0, 0, 0, 0, 0, 0, 0
