Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
3.772476625, 0, 0, 0, 0, 0, 0, 0, 0
3.7724766875, 0, 0, 0, 0, 0, 0, 0, 0
3.77247675, 0, 0, 0, 0, 0, 0, 0, 0
3.7724768125, 0, 0, 0, 0, 0, 0, 0, 0
3.772476875, 0, 0, 0, 0, 0, 0, 0, 0
3.7724769375, 0, 0, 0, 0, 0, 0, 0, 0
3.772477, 0, 0, 0, 0, 0, 0, 0, 0
3.7724770625, 0, 0, 0, 0, 0, 0, 0, 0
3.772477125, 0, 0, 0, 0, 0, 0, 0, 0
3.7724771875, 0, 0, 0, 0, 0, 0, 0, 0
3.77247725, 0, 0, 0, 0, 0, 0, 0, 0
3.7724773125, 0, 0, 0, 0, 0, 0, 0, 0
3.772477375, 0, 0, 0, 0, 0, 0, 0, 0
3.7724774375, 0, 0, 0, 0, 0, 0, 0, 0
3.7724775, 0, 0, 0, 0, 0, 0, 0, 0
3.7724775625, 0, 0, 0, 0, 0, 0, 0, 0
3.772477625, 0, 0, 0, 0, 0, 0, 0, 0
3.7724776875, 0, 0, 0, 0, 0, 0, 0, 0
3.77247775, 0, 0, 0, 0, 0, 0, 0, 0
3.7724778125, 0, 0, 0, 0, 0, 0, 0, 0
3.772477875, 0, 0, 0, 0, 0, 0, 0, 0
3.7724779375, 0, 0, 0, 0, 0, 0, 0, 0
3.772478, 0, 0, 0, 0, 0, 0, 0, 0
3.7724780625, 0, 0, 0, 0, 0, 0, 0, 0
3.772478125, 0, 0, 0, 0, 0, 0, 0, 0
3.7724781875, 0, 0, 0, 0, 0, 0, 0, 0
3.77247825, 0, 0, 0, 0, 0, 0, 0, 0
3.7724783125, 0, 0, 0, 0, 0, 0, 0, 0
3.772478375, 0, 0, 0, 0, 0, 0, 0, 0
3.7724784375, 0, 0, 0, 0, 0, 0, 0, 0
3.7724785, 0, 0, 0, 0, 0, 0, 0, 0
3.7724785625, 0, 0, 0, 0, 0, 0, 0, 0
3.772478625, 0, 0, 0, 0, 0, 0, 0, 0
3.7724786875, 0, 0, 0, 0, 0, 0, 0, 0
3.77247875, 0, 0, 0, 0, 0, 0, 0, 0
3.7724788125, 0, 0, 0, 0, 0, 0, 0, 0
3.772478875, 0, 0, 0, 0, 0, 0, 0, 0
3.7724789375, 0, 0, 0, 0, 0, 0, 0, 0
3.772479, 0, 0, 0, 0, 0, 0, 0, 0
3.7724790625, 0, 0, 0, 0, 0, 0, 0, 0
3.772479125, 0, 0, 0, 0, 0, 0, 0, 0
3.7724791875, 0, 0, 0, 0, 0, 0, 0, 0
3.77247925, 0, 0, 0, 0, 0, 0, 0, 0
3.7724793125, 0, 0, 0, 0, 0, 0, 0, 0
3.772479375, 0, 0, 0, 0, 0, 0, 0, 0
3.7724794375, 0, 0, 0, 0, 0, 0, 0, 0
3.7724795, 0, 0, 0, 0, 0, 0, 0, 0
3.7724795625, 0, 0, 0, 0, 0, 0, 0, 0
3.772479625, 0, 0, 0, 0, 0, 0, 0, 0
3.7724796875, 0, 0, 0, 0, 0, 0, 0, 0
3.77247975, 0, 0, 0, 0, 0, 0, 0, 0
3.7724798125, 0, 0, 0, 0, 0, 0, 0, 0
3.772479875, 0, 0, 0, 0, 0, 0, 0, 0
3.7724799375, 0, 0, 0, 0, 0, 0, 0, 0
3.77248, 0, 0, 0, 0, 0, 0, 0, 0
3.7724800625, 0, 0, 0, 0, 0, 0, 0, 0
3.772480125, 0, 0, 0, 0, 0, 0, 0, 0
3.7724801875, 0, 0, 0, 0, 0, 0, 0, 0
3.77248025, 0, 0, 0, 0, 0, 0, 0, 0
3.7724803125, 0, 0, 0, 0, 0, 0, 0, 0
3.772480375, 0, 0, 0, 0, 0, 0, 0, 0
3.7724804375, 0, 0, 0, 0, 0, 0, 0, 0
3.7724805, 0, 0, 0, 0, 0, 0, 0, 0
