Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
1.4860506875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860509375, 0, 0, 1, 1, 0, 1, 0, 0
1.486051625, 0, 0, 0, 0, 0, 0, 0, 0
1.4860519375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860521875, 0, 0, 1, 1, 0, 1, 0, 0
1.486052875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860531875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860534375, 0, 0, 1, 1, 0, 1, 0, 0
1.486054125, 0, 0, 0, 0, 0, 0, 0, 0
1.4860544375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860546875, 0, 0, 0, 1, 0, 1, 0, 0
1.486055375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860556875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860559375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860569375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860571875, 0, 0, 0, 1, 1, 1, 1, 0
1.486057875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860581875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860584375, 0, 0, 1, 1, 1, 1, 0, 0
1.486059125, 0, 0, 0, 0, 0, 0, 0, 0
1.4860594375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860596875, 0, 0, 0, 0, 0, 0, 0, 0
1.48605975, 0, 0, 0, 0, 0, 0, 1, 0
1.486060375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860606875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860609375, 0, 0, 0, 0, 0, 0, 1, 0
1.486061625, 0, 0, 0, 0, 0, 0, 0, 0
1.4860619375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860621875, 0, 0, 1, 1, 1, 0, 1, 0
1.486062875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860631875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860634375, 0, 0, 0, 0, 0, 1, 0, 0
1.486064125, 0, 0, 0, 0, 0, 0, 0, 0
1.4860644375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860646875, 0, 0, 0, 1, 1, 0, 1, 0
1.486065375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860656875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860659375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860669375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860671875, 0, 0, 0, 0, 0, 0, 0, 0
1.4860681875, 1, 1, 1, 1, 1, 1, 0, 1
1.48606825, 1, 1, 1, 1, 1, 1, 1, 1
1.4860684375, 0, 0, 1, 1, 1, 1, 0, 0
1.486069125, 0, 0, 0, 0, 0, 0, 0, 0
1.4860694375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860696875, 0, 0, 0, 0, 0, 0, 1, 1
1.48606975, 0, 0, 0, 0, 0, 0, 1, 0
1.486070375, 0, 0, 0, 0, 0, 0, 0, 0
1.4860706875, 1, 1, 1, 1, 1, 1, 1, 1
1.4860709375, 0, 1, 0, 1, 1, 0, 0, 0
1.486071625, 0, 0, 0, 0, 0, 0, 0, 0
1.4860719375, 1, 1, 1, 1, 1, 1, 1, 1
1.4860721875, 0, 1, 1, 1, 1, 1, 1, 0
1.486072875, 0, 0, 0, 0, 0, 0, 0, 0
