Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
1.2072891875, 1, 1, 1, 1, 1, 1, 1, 1
1.2073813125, 0, 0, 0, 0, 0, 0, 0, 0
1.2073891875, 1, 1, 1, 1, 1, 1, 1, 1
1.2073895, 0, 0, 0, 0, 0, 0, 0, 0
1.2073904375, 1, 1, 1, 1, 1, 1, 1, 1
1.20739075, 0, 0, 0, 0, 0, 0, 0, 0
1.2073916875, 1, 1, 1, 1, 1, 1, 1, 1
1.207392, 0, 0, 0, 0, 0, 0, 0, 0
1.2073929375, 1, 1, 1, 1, 1, 1, 1, 1
1.20739325, 0, 0, 0, 0, 0, 0, 0, 0
1.2073941875, 1, 1, 1, 1, 1, 1, 1, 1
1.2073945, 1, 1, 0, 0, 0, 0, 0, 0
1.207394625, 1, 1, 0, 0, 0, 1, 0, 0
1.2073946875, 1, 1, 0, 0, 0, 0, 0, 0
1.207395125, 0, 0, 0, 0, 0, 0, 0, 0
1.2073954375, 1, 1, 1, 1, 1, 1, 1, 1
1.20739575, 1, 0, 1, 0, 0, 0, 0, 0
1.207396375, 0, 0, 0, 0, 0, 0, 0, 0
1.2073966875, 1, 1, 1, 1, 1, 1, 1, 1
1.207397, 0, 0, 0, 1, 1, 1, 1, 0
1.207397625, 0, 0, 0, 0, 0, 0, 0, 0
1.2073979375, 1, 1, 1, 1, 1, 1, 1, 1
1.20739825, 1, 1, 1, 1, 1, 0, 1, 1
1.2073983125, 1, 1, 1, 1, 0, 0, 1, 0
1.2073988125, 1, 1, 1, 1, 0, 0, 1, 1
1.207398875, 0, 0, 0, 0, 0, 0, 0, 0
1.2073991875, 1, 1, 1, 1, 1, 1, 1, 1
1.2073995, 0, 0, 0, 0, 0, 0, 0, 0
1.2074004375, 1, 1, 1, 1, 1, 1, 1, 1
1.2074008125, 1, 1, 1, 1, 1, 1, 1, 0
1.207400875, 1, 1, 1, 1, 1, 1, 1, 1
1.2074009375, 1, 1, 1, 1, 1, 1, 1, 0
1.2074010625, 1, 1, 1, 1, 1, 1, 1, 1
1.207401125, 1, 1, 1, 1, 1, 1, 1, 0
1.2074011875, 1, 1, 1, 1, 1, 1, 1, 1
1.20740125, 1, 1, 1, 1, 1, 1, 1, 0
1.207401375, 0, 0, 0, 0, 0, 0, 0, 0
1.2074016875, 1, 1, 1, 1, 1, 1, 1, 1
1.207402, 1, 1, 1, 1, 1, 0, 0, 0
1.207402125, 1, 1, 1, 1, 1, 0, 1, 1
1.2074021875, 1, 1, 1, 1, 1, 0, 0, 0
1.207402375, 1, 1, 1, 1, 1, 0, 1, 1
1.2074024375, 1, 1, 1, 1, 1, 0, 0, 0
1.207402625, 0, 0, 0, 0, 0, 0, 0, 0
1.2074029375, 1, 1, 1, 1, 1, 1, 1, 1
1.2074033125, 0, 0, 0, 0, 0, 1, 0, 0
1.207403875, 0, 0, 0, 0, 0, 0, 0, 0
1.2074041875, 1, 1, 1, 1, 1, 1, 1, 1
1.2074045, 0, 1, 1, 1, 0, 1, 1, 0
1.2074046875, 0, 1, 1, 1, 0, 1, 1, 1
1.20740475, 0, 1, 1, 1, 0, 1, 1, 0
1.2074049375, 0, 1, 1, 1, 0, 1, 1, 1
1.207405, 0, 1, 1, 1, 0, 1, 1, 0
1.207405125, 0, 0, 0, 0, 0, 0, 0, 0
1.2074054375, 1, 1, 1, 1, 1, 1, 1, 1
1.20740575, 1, 0, 1, 1, 1, 1, 1, 0
1.207405875, 1, 1, 1, 1, 1, 1, 1, 1
1.2074059375, 1, 0, 1, 1, 1, 1, 1, 0
1.2074060625, 1, 1, 1, 1, 1, 1, 1, 1
1.207406125, 1, 0, 1, 1, 1, 1, 1, 0
